,cultivar,Z1,Z2
0,B669,0.9434506,-2.0856836
1,B669,1.1722147,-2.7712533
2,B669,0.3931452,-1.1388458
3,B669,0.22733241,-0.72424465
4,B669,0.70759636,-3.538042
5,B669,0.19118714,-2.623719
6,B669,0.3702219,-5.0577903
7,B669,0.43989694,-3.028231
8,B669,0.13172014,-0.95147324
9,B669,-1.4948361,-3.4313312
10,B669,-1.2679695,-3.3056898
11,B669,1.2576896,-5.72793
12,B669,0.8894833,-2.9379075
13,B669,1.2201685,-5.397558
14,B669,-1.4309869,-4.4934425
15,B669,0.46930534,-2.3925889
16,B669,-0.023118172,-2.3862073
17,B669,0.7572306,-3.5542645
18,B669,0.5863639,-2.6402273
19,B669,0.84330755,-3.010324
20,B669,0.50450516,-3.7445972
21,B669,0.37559354,-2.790637
22,B669,0.32015762,-1.5781971
23,B669,0.50215936,-2.0398684
24,B669,0.50645673,-1.5654359
25,B669,-1.1755275,-1.269958
26,B669,1.1178733,-4.277695
27,B669,0.44423777,-1.4519571
28,B669,0.29161182,-1.1683367
29,B669,1.8674202,-4.658853
30,B669,0.3948949,-0.14291924
31,B669,0.8921388,-4.3001475
32,B669,0.8984383,-8.067336
33,B669,0.38214496,-2.661979
34,B669,0.59735155,-2.0547519
35,B669,0.54850036,-2.664543
36,B669,1.112918,-3.0119417
37,B669,-1.4543458,-3.081466
38,B669,0.43463463,-1.3780476
39,B669,0.29972783,-0.8359185
40,B669,0.5383311,-1.974113
41,B669,0.7556066,-5.111893
42,B669,-0.062361557,-2.9117906
43,B669,0.45801586,-1.729546
44,B669,0.31718537,-1.766588
45,B669,0.3401751,-1.5628356
46,B669,0.0686854,-2.07
47,B669,0.5822352,-3.3168752
48,B669,0.33246994,-4.883949
49,B669,-1.8705306,-5.681303
50,B669,0.75442594,-5.714883
51,B669,0.4933326,-4.2680106
52,B669,0.7657935,-2.9504194
53,B669,0.45430654,-2.2073092
54,B669,0.25566843,-2.6361184
55,B669,0.9980004,-3.659915
56,B669,0.37773088,-1.4369105
57,B669,0.8814981,-7.5654573
58,B669,0.8180929,-4.217099
59,B669,0.45169795,-0.96479887
60,B669,0.9776389,-3.078452
61,B669,0.46484134,-1.4789965
62,B669,0.5434258,-0.71406245
63,B669,0.27577424,-1.9609944
64,B669,0.48524958,-5.0372467
65,B669,0.6873844,-2.368922
66,B669,0.3209945,-2.0941238
67,B669,-1.1521991,-2.8175595
68,B669,0.6902213,-9.394614
69,B669,-0.1975054,-1.5911226
70,B669,-0.91581064,-3.208154
71,B669,1.5505617,-3.3578029
72,B669,0.82274264,-2.4912617
73,B669,0.19538832,-1.3177509
74,B669,0.4090102,-2.0143774
75,B669,0.40239456,-1.8845568
76,B669,0.2634939,-2.962612
77,B669,0.12651119,-2.157743
78,B669,1.2200705,-2.459727
79,B669,0.3455819,-1.8331506
80,B669,0.21528144,-1.0560256
81,B669,0.29888874,-0.53557146
82,B669,0.42786363,-2.8559933
83,B669,0.51318586,-3.393492
84,B669,1.0952061,-2.339342
85,B669,1.0742902,-2.073927
86,B669,0.37435314,-1.4812759
87,B669,1.0836604,-6.1730266
88,B669,0.5572939,-1.9506027
89,B669,0.5587252,-3.1644478
90,B669,1.2673771,-4.750635
91,B669,0.7138513,-2.1376178
92,B669,0.91936916,-3.2662387
93,B669,1.1586682,-3.599596
94,B669,-1.3129399,-2.4899473
95,B669,0.48104417,-1.5170493
96,B669,0.14803411,-3.5703988
97,B669,0.5675341,-6.3957477
98,B669,0.2811269,-2.4679055
99,B669,0.7230985,-1.4406205
100,B669,0.7253326,-3.069515
101,B669,0.3308972,-1.1695534
102,B669,0.2658649,-0.73943853
103,B669,0.19661365,-0.00014239177
104,B669,0.22201042,-2.624166
105,B669,0.73586833,-1.5282584
106,B669,0.463821,-3.624431
107,B669,0.07824484,-3.3692658
108,B669,1.0426643,-2.3249671
109,B669,0.8169661,-1.5276381
110,B669,-1.585538,-5.296152
111,B669,0.40853348,-1.3258764
112,B669,0.4212615,-2.1064746
113,B669,1.270969,-3.5192716
114,B669,0.25766847,-1.436226
115,B669,1.2469232,-3.417353
116,B669,0.5584358,-6.3099623
117,B669,0.3287357,-3.2784684
118,B669,-1.3421202,-3.7053895
119,B669,0.4714231,-2.7908244
120,B669,0.36684018,-1.256554
121,B669,-0.03627248,-1.6661421
122,B669,0.054020707,-2.15715
123,B669,0.614928,-1.4173447
124,B669,-1.0928261,-1.7535635
125,B669,1.656747,-6.0519466
126,B669,-1.8085818,-5.3886166
127,B669,0.47152188,-1.4127234
128,B669,0.70130897,-1.6892481
129,B669,0.9533712,-2.511786
130,B669,-0.5897782,-3.56632
131,B669,0.36388814,-3.1733751
132,B669,0.3956429,-1.1218288
133,B669,0.65211004,-1.0104346
134,B669,0.39047235,-1.3686806
135,B669,-1.9746641,-3.8796895
136,B669,0.28306058,-2.1319282
137,B669,0.47045016,-1.1543909
138,B669,0.7560009,-0.8392414
139,B669,0.65046215,-2.9781199
140,B669,1.0757879,-4.402963
141,B669,0.7780915,-2.3471985
142,B669,0.32549006,-1.3814613
143,B669,0.73675174,-2.553499
144,B669,1.1780106,-4.013893
145,B669,1.0782651,-3.3840377
146,B669,0.7059886,-2.029751
147,B669,0.4893428,-2.363241
148,B669,0.3594212,-1.035804
149,B669,0.1703725,-1.7637371
150,B669,-0.14939451,-3.6069312
151,B669,-0.97742677,-3.5588055
152,B669,0.252093,-0.7082372
153,B669,-2.030736,-6.6178513
154,B669,0.85352314,-1.2894682
155,B669,1.2338371,-2.5732124
156,B669,2.065871,-3.1757398
157,C319,-0.20437145,0.08820799
158,C319,-0.81049436,2.7537313
159,C319,-0.8608321,2.6341398
160,C319,0.32687455,1.9619004
161,C319,-0.5116596,2.1413758
162,C319,-1.43852,0.13722833
163,C319,-0.24398623,0.24213588
164,C319,-0.28451487,0.49946964
165,C319,-0.42266694,2.170055
166,C319,-0.12776454,2.3268168
167,C319,-1.2558879,0.15507822
168,C319,-0.22655356,0.18541452
169,C319,-0.6627915,3.09249
170,C319,-0.429087,2.3831325
171,C319,-0.09554782,-1.0715306
172,C319,-0.0882987,1.4529134
173,C319,0.57637835,2.215031
174,C319,-0.6746464,1.9603542
175,C319,-0.3489305,-0.28333667
176,C319,-0.09395124,0.2871454
177,C319,-0.22600831,1.7873862
178,C319,-0.10715042,2.6805732
179,C319,-0.24791974,0.41807115
180,C319,-0.28828734,0.5524607
181,C319,-0.14622511,-0.49810895
182,C319,-0.4059729,1.7580675
183,C319,-0.18902656,0.3175265
184,C319,-0.27165094,0.15183146
185,C319,-0.24507152,-0.17383003
186,C319,-0.12142299,-0.15674967
187,C319,-0.09139395,-0.22197464
188,C319,-0.37055427,2.831206
189,C319,-0.08759268,0.48203576
190,C319,-0.25396794,1.6644263
191,C319,-0.77855337,2.0830374
192,C319,-1.5534539,3.355179
193,C319,0.013552176,-0.55295444
194,C319,-0.044316873,2.8699505
195,C319,-0.085083954,0.05778972
196,C319,-0.617011,2.552651
197,C319,-0.16402298,-0.11025023
198,C319,-0.42239165,2.047569
199,C319,-0.9710452,2.3182802
200,C319,-0.22192755,-0.0824899
201,C319,-0.35925955,0.4331269
202,C319,0.8397589,2.674593
203,C319,-0.10061471,0.502424
204,C319,1.0708627,1.716312
205,C319,-0.9851026,2.440865
206,C319,-0.50626093,2.5144753
207,C319,-0.32078916,2.2691448
208,C319,-0.45797244,2.2050774
209,C319,0.4181804,2.126721
210,C319,-0.101028785,2.711946
211,C319,-0.70933986,3.6975029
212,C319,-0.7350364,2.3127072
213,C319,-0.15304282,1.4389781
214,C319,-0.29260257,0.5475621
215,C319,-0.6401767,2.7383435
216,C319,-1.1238436,1.7225354
217,C319,-0.63310146,2.0647588
218,C319,-0.66524744,1.9442753
219,C319,0.4810547,3.11048
220,C319,-1.5377028,-0.2877428
221,C319,-0.279329,2.1184742
222,C319,0.600405,2.230837
223,C319,-0.31193805,0.68478584
224,C319,-0.9311441,2.7643728
225,C319,0.19831763,2.5375586
226,C319,-0.39585525,2.032648
227,C319,-1.0210843,2.5518315
228,C319,0.023520948,1.8614806
229,C319,0.20178986,2.795917
230,C319,0.5709463,2.4627259
231,C319,0.17148647,1.9556086
232,C319,-0.01792048,0.054881833
233,C319,-0.30736837,0.5774526
234,C319,-0.9801231,2.9239848
235,C319,0.4708875,2.1963034
236,C319,-0.37914062,-0.09558448
237,C319,-2.123375,0.33284447
238,C319,-0.001647085,0.6173366
239,C319,-0.7525982,1.6293479
240,C319,-1.0719469,2.754282
241,C319,-0.5776285,2.8289762
242,C319,-0.25138724,1.861898
243,C319,-0.2893949,1.7182459
244,C319,-0.18912537,0.45400193
245,C319,-1.2555914,1.8432964
246,C319,-0.97558576,2.6676245
247,C319,-0.0893784,-0.41933653
248,C319,-0.24039803,-0.12782563
249,C319,0.03901434,2.47225
250,C319,-0.7765352,2.1140523
251,C319,-0.056412734,0.57437325
252,C319,-0.31519225,-0.39898363
253,C319,0.15018693,0.28158787
254,C319,-0.5096687,1.9761229
255,C319,-0.9677738,1.9995722
256,C319,-0.3967633,0.38288674
257,C319,-1.2942046,2.5533242
258,C319,0.045365598,-0.034487717
259,C319,-1.5914204,2.650396
260,C319,-0.8397083,2.5552807
261,C319,-0.3504405,1.6122351
262,C319,-0.078907765,-0.22782165
263,C319,-0.13340034,0.8167692
264,C319,-0.17189491,1.8350593
265,C319,0.17859061,-0.31608638
266,C319,-0.3441587,2.4119759
267,C319,-1.4185613,4.547683
268,C319,0.48515058,2.3378873
